Player,Pos,School,Ht,Wt,Hands,Arms,Wingspan,40yd,10 Split,Vertical,Broad Jump,Bench,3Cone,Shuttle
Aaron Anderson,WR,LSU,"5'8""",191,9.25,29.75,,,,30,"9'5""",,,
Adam Randall,RB,Clemson,"6'3 3/8""",232,9.75,32.375,,4.5,1.6,37,"10'4""",26,,4.53
Antonio Williams,WR,Clemson,"5'11 1/2""",187,9.25,30.75,76,4.41,1.55,39.5,"10'4""",10,7,
Barion Brown,WR,LSU,"5'11""",177,9,31.5,,4.4,1.62,,,,,
Bauer Sharp,TE,LSU,"6'4 5/8""",249,9.75,31.75,,4.63,1.68,35,"10'0""",20,,
Behren Morton,QB,Texas Tech,"6'2""",221,9.5,30.625,,,,,,,,
Brenen Thompson,WR,Mississippi St,"5'9""",164,9,29.375,,4.26,1.54,,,,,
Bryce Lance,WR,North Dakota St,"6'3""",204,9.25,32.125,,4.34,1.51,41.5,"11'1""",,7,4.15
Cade Klubnik,QB,Clemson,"6'2""",207,9.25,31.125,,,,,,,,
Caleb Douglas,WR,Texas Tech,"6'3 1/2""",206,10.125,32.5,,4.39,1.53,31.5,"10'6""",,,
Carnell Tate,WR,Ohio State,"6'2 1/4""",192,10.25,31.75,78,4.53,1.61,,,,,
Carson Beck,QB,Miami (FL),"6'4 3/4""",233,10,30.625,75,,,,,,,
Caullin Lacy,WR,Louisville,"5'9""",183,9.875,29.375,,4.55,1.59,33.5,"9'8""",,,
Chase Roberts,WR,BYU,"6'3""",209,9.75,31.5,,4.64,1.57,37,"10'6""",,,
Chris Bell,WR,Louisville,"6'1 7/8""",222,10,31.75,76.75,,,,,,,
Chris Brazzell II,WR,Tennessee,"6'4""",198,9,32.375,80.125,4.37,1.52,,,,,
Chris Hilton Jr.,WR,LSU,"6'0""",188,9.25,32,,4.41,1.52,34.5,"10'2""",,7.25,4.41
CJ Daniels,WR,Miami (FL),"6'2""",202,9.25,31.75,,,,,,,,
CJ Donaldson,RB,Ohio State,"6'2""",230,9.5,31.75,,,,,,,,
Colbie Young,WR,Georgia,"6'5""",218,9.5,31.875,,4.49,1.55,,,,,
Cole Payton,QB,North Dakota St,"6'3""",232,10.25,31.625,,4.56,1.57,40,"10'10""",,7.12,4.36
Dae'Quan Wright,TE,Mississippi,"6'4""",246,9.25,32.25,,,,,,,,
Dallen Bentley,TE,Utah,"6'4 1/8""",253,9.25,33.125,,4.62,1.62,35,"9'10""",24,,4.42
De'Zhaun Stribling,WR,Mississippi,"6'2""",207,10,31.625,,4.36,1.52,36,"10'7""",,,
Deion Burks,WR,Oklahoma,"5'9 3/4""",180,9.5,29.375,72.75,4.3,1.49,42.5,"10'11""",26,,
Demond Claiborne,RB,Wake Forest,"5'9 3/4""",188,9,30.125,,4.37,1.59,,"10'2""",,,
Denzel Boston,WR,Washington,"6'3 5/8""",212,9.75,32,77.375,,,35,,,,4.28
Desmond Reid,RB,Pittsburgh,"5'6""",174,8.25,28.125,,,,,,,,
Diego Pavia,QB,Vanderbilt,"5'10""",207,9.625,28.625,,,,,,,,
Dillon Bell,WR,Georgia,"6'0 3/4""",209,9.5,30.25,,4.5,1.55,39,"10'6""",,,
DJ Rogers,TE,TCU,"6'4""",258,9.5,33.625,,,,,,,,
Donaven McCulley,WR,Michigan,"6'4 1/2""",203,10.25,32.625,,,,,,,,
Drew Allar,QB,Penn State,"6'5 1/4""",228,9.875,32.75,79.625,,,,,,,
Eli Heidenreich,RB,Navy,"6'0""",198,9.5,29.25,,4.44,1.54,35.5,"10'0""",16,6.5,4.03
Eli Raridon,TE,Notre Dame,"6'6 1/8""",245,10.75,32.75,,4.62,1.6,36,"10'3""",20,,
Eli Stowers,TE,Vanderbilt,"6'3 3/4""",239,9.75,32.625,79.75,4.51,1.59,45.5,"11'3""",,,
Elijah Sarratt,WR,Indiana,"6'2 1/2""",210,10,31.25,75.75,,,,,,,
Emmanuel Henderson Jr.,WR,Kansas,"6'0 7/8""",185,8.375,31,,4.44,1.53,35,"10'0""",,,
Emmett Johnson,RB,Nebraska,"5'10 1/4""",202,9.75,30.25,,4.56,1.59,35.5,"10'0""",16,7.32,4.29
Eric McAlister,WR,TCU,"6'4""",194,9.75,32.625,,,,,,,,
Eric Rivers,WR,Georgia Tech,"5'10""",176,9,30.5,,4.35,1.49,37,"10'7""",,,
Fernando Mendoza,QB,Indiana,"6'4 3/4""",236,9.5,31.875,76.75,,,,,,,
Garrett Nussmeier,QB,LSU,"6'2""",203,9.125,30.375,,,,,,,,
Germie Bernard,WR,Alabama,"6'1 1/4""",206,9.875,30.375,74.875,4.48,1.52,32.5,"10'5""",,6.71,4.31
Harrison Wallace III,WR,Mississippi,"6'0""",192,8.375,32.125,,4.54,1.58,,,,,
Haynes King,QB,Georgia Tech,"6'2 3/8""",212,9,31.875,,4.46,1.56,33.5,"9'8""",,6.89,4.17
J. Michael Sturdivant,WR,Florida,"6'3""",207,9.5,32.875,,4.4,1.54,39,"10'11""",,,
Ja'Kobi Lane,WR,USC,"6'4""",200,10.5,32.625,,4.47,1.58,40,"10'9""",,,
Ja'Mari Taylor,RB,Virginia,"5'10""",199,9,30,,,,34.5,"9'7""",20,,
Jack Endries,TE,Texas,"6'4 5/8""",245,9.625,31.125,,4.62,1.59,36,"9'11""",,,
Jadarian Price,RB,Notre Dame,"5'10 5/8""",203,9.625,30.875,,4.49,1.61,35,"10'4""",21,,
Jalen Walthall,WR,Incarnate Word,"6'1""",191,9,31.25,,4.57,1.55,35,"10'11""",,,
Jalon Daniels,QB,Kansas,"6'0 5/8""",219,9.625,30.375,,4.65,1.63,,,,,
Jam Miller,RB,Alabama,"5'10 1/4""",209,8.75,30.375,,4.42,1.53,30.5,"9'7""",,,
Jaren Kanak,TE,Oklahoma,"6'2""",234,9.375,30.5,,4.52,1.61,36,"9'11""",24,,
Jeff Caldwell,WR,Cincinnati,"6'5""",216,9.75,32.625,,4.31,1.48,42,"11'2""",,,
Jeremiyah Love,RB,Notre Dame,"6'0""",212,9.125,32,,4.36,1.55,,,,,
Joe Fagnano,QB,UConn,"6'3 1/4""",226,9.25,31.375,,4.83,1.67,35,"9'10""",,,4.35
Joe Roy,TE,Cincinnati,"6'5""",247,10.75,31.5,,,,,,,,
Joey Aguilar,QB,Tennessee,"6'3 3/8""",229,9.625,31.75,,,,,,,,
John Michael Gyllenborg,TE,Wyoming,"6'5 3/4""",249,10,31,,4.6,1.6,35.5,"10'8""",,,4.22
Jonah Coleman,RB,Washington,"5'8""",220,9.125,28.875,,,,,,22,,
Jordan Hudson,WR,SMU,"6'1""",191,9.25,31.125,,,,,,,,
Jordyn Tyson,WR,Arizona State,"6'2 1/8""",203,9.125,30.25,75.25,,,,,26,,
Josh Cameron,WR,Baylor,"6'1 1/2""",220,10.25,33.125,,,,,,,,
Josh Cuevas,TE,Alabama,"6'3 3/8""",245,9.625,30.625,,4.65,1.65,34,"9'10""",,7.37,4.38
Justin Joly,TE,NC State,"6'3 1/2""",241,10.5,32.25,,,,,,,,
Kaden Wetjen,WR,Iowa,"5'9""",193,8.5,29.625,,4.47,1.51,35.5,,,6.95,4.44
Kaytron Allen,RB,Penn State,"5'11""",216,9.5,29.5,,,,,,,,
KC Concepcion,WR,Texas A&M,"5'11 5/8""",196,9.25,30.25,74.875,,,,,,,
Kendrick Law,WR,Kentucky,"5'11""",203,9.625,31.125,,4.45,1.53,42,"10'8""",21,,
Kenyon Sadiq,TE,Oregon,"6'3 1/8""",241,10,31.5,78.25,4.39,1.54,43.5,"11'1""",26,,
Kevin Coleman Jr.,WR,Missouri,"5'10 1/4""",179,9.5,30,,4.49,1.62,38.5,"10'6""",,,
Khalil Dinkins,TE,Penn State,"6'4 1/4""",251,9.5,33.25,,4.72,1.7,32.5,"9'11""",25,7.28,4.33
Lake McRee,TE,USC,"6'4""",243,9.25,31.5,,,,,,22,,
Le'Veon Moss,RB,Texas A&M,"5'11""",203,9.5,31,,,,,,,,
Luke Altmyer,QB,Illinois,"6'1 3/4""",210,9,29.875,,4.72,1.66,32,"9'6""",,,
Makai Lemon,WR,USC,"5'11""",192,8.75,30.5,73.25,,,,,,,
Malachi Fields,WR,Notre Dame,"6'4 1/2""",218,9,32.125,79,4.61,1.63,38,"10'4""",,6.98,4.35
Malik Benson,WR,Oregon,"6'0 1/8""",189,8.625,31.875,,4.37,1.53,32.5,"10'2""",,,
Marlin Klein,TE,Michigan,"6'6""",248,9.25,32.375,,4.61,1.64,36,"9'9""",,7.42,
Matthew Hibner,TE,SMU,"6'4 1/4""",251,9.375,32.375,,4.57,1.61,37,"9'8""",28,,
Max Bredeson,RB,Michigan,"6'2""",252,10,30.125,,,,,,,,
Max Klare,TE,Ohio State,"6'4""",246,9.125,32.125,77.875,,,,,,,
Michael Trigg,TE,Baylor,"6'4""",240,10.5,34.25,84.375,,,,,,,
Mike Washington Jr.,RB,Arkansas,"6'1""",223,9.25,33.625,,4.33,1.51,39,"10'8""",,,
Miles Kitselman,TE,Tennessee,"6'5 1/8""",251,9.875,31.875,,4.9,1.71,34.5,"9'8""",,,
Nate Boerkircher,TE,Texas A&M,"6'5 1/2""",245,10.5,32.625,,,,,,,,4.4
Nicholas Singleton,RB,Penn State,"6'0""",219,9.375,31,,,,,,,,
Noah Whittington,RB,Oregon,"5'8""",205,8.25,29.125,,,,,,24,,
Omar Cooper Jr.,WR,Indiana,"6'0 1/8""",199,9.625,30.25,75.25,4.42,1.55,37,,,,
Oscar Delp,TE,Georgia,"6'5""",245,9.5,31.625,,,,,,,,
Rahsul Faison,RB,South Carolina,"5'11""",208,9,30.875,,,,37.5,"10'2""",,,
Reggie Virgil,WR,Texas Tech,"6'3""",187,9.25,31.25,,4.57,1.51,36,"10'7""",,,
Riley Nowakowski,TE,Indiana,"6'2 1/4""",250,8.75,31.5,,4.66,1.7,33.5,"9'11""",,,
RJ Maryland,TE,SMU,"6'4 1/8""",236,9,32.25,,4.51,1.64,33,"10'2""",,,
Robert Henry Jr.,RB,UTSA,"5'9 1/4""",196,9.125,30.125,,4.52,1.62,37,"10'4""",,,4.31
Roman Hemby,RB,Indiana,"6'0""",207,9.5,31,,,,,,,,
Sam Roush,TE,Stanford,"6'6""",267,10,30.625,76.375,4.7,1.61,38.5,"10'6""",25,7.08,4.37
Sawyer Robertson,QB,Baylor,"6'4""",216,9.375,32.125,,4.64,1.61,37.5,"10'3""",,7.45,4.46
Seth McGowan,RB,Kentucky,"6'0 1/4""",223,8.75,31.375,,4.49,1.6,42.5,"10'11""",,,4.5
Skyler Bell,WR,UConn,"5'11 5/8""",192,10,31.125,,4.4,1.53,41,"11'1""",,,
Tanner Koziol,TE,Houston,"6'6 1/2""",247,9.75,33.75,,4.7,1.62,36.5,"10'2""",,,
Taylen Green,QB,Arkansas,"6'5 7/8""",227,9.875,34.75,,4.36,1.55,43.5,"11'2""",,,
Ted Hurst,WR,Georgia State,"6'3""",206,9.75,32.625,,4.42,1.55,36.5,"11'3""",,,
Ty Simpson,QB,Alabama,"6'1 1/8""",211,9.375,30.875,76.5,,,,,,,
Vinny Anthony II,WR,Wisconsin,"5'11 7/8""",183,9.125,31.375,,4.54,1.59,34.5,,15,6.86,4.07
Will Kacmarek,TE,Ohio State,"6'5 1/2""",261,9.75,32.25,,4.74,1.7,36,"9'11""",,,
Zachariah Branch,WR,Georgia,"5'8 5/8""",177,9,29.375,72.375,4.35,1.5,38,"10'5""",20,,
Zavion Thomas,WR,LSU,"5'10""",190,9,30.5,,4.28,1.51,36,,,,
